cluster,target_page,search_intent,content_structure,related_keywords,notes
روتین مراقبت پوست,,Informational,Pillar + Cluster,"انواع پوست, پاک‌کننده صورت, ضدآفتاب",هاب اصلی محتوا — همه کلاسترهای دیگر به این صفحه لینک می‌دهند
انواع پوست,,Informational,Guide + Product Finder,"روتین مراقبت پوست, ضدجوش و آکنه, آبرسان و مرطوب‌کننده",ورودی تشخیص نیاز کاربر؛ بهترین نقطه برای لینک به دسته‌های محصول
ضدآفتاب,,Commercial,Category + Buying Guide,"انواع پوست, لک و روشن‌کننده",بالاترین تقاضای تجاری در اسکین‌کر فارسی؛ فصلی — اوج در بهار و تابستان
سرم صورت,,Commercial,Category + Ingredient Guides,"لک و روشن‌کننده, ضدچروک و ضدپیری",محور ترکیبات فعال (ویتامین C، رتینول، نیاسینامید، هیالورونیک)
آبرسان و مرطوب‌کننده,,Commercial,Category + Comparison,"انواع پوست, روتین مراقبت پوست",کیورد «تفاوت آبرسان و مرطوب‌کننده» بالاترین پتانسیل featured snippet این کلاستر است
ضدجوش و آکنه,,Informational,Problem Hub + Product Links,"لک و روشن‌کننده, پاک‌کننده صورت",کیوردهای مشکل‌محور — بیشترین حجم آموزشی؛ مراقب ادعای درمانی/پزشکی باش
لک و روشن‌کننده,,Informational,Problem Hub + Product Links,"ضدآفتاب, سرم صورت",بدون محتوای ضدآفتاب کامل نمی‌شود — لینک داخلی دوطرفه لازم است
ضدچروک و ضدپیری,,Commercial,Category + Ingredient Guides,"سرم صورت, مراقبت دور چشم",مخاطب مسن‌تر، ارزش سبد خرید بالاتر
پاک‌کننده صورت,,Commercial,Category + How-to,"روتین مراقبت پوست, ضدجوش و آکنه",اولین قدم هر روتین — نقطه ورود طبیعی به قیف
مراقبت دور چشم,,Commercial,Category + Problem Pages,ضدچروک و ضدپیری,کلاستر کوچک اما با نیت خرید بالا
ماسک و لایه‌بردار,,Commercial,Category + How-to,"ضدجوش و آکنه, لک و روشن‌کننده",AHA/BHA — محتوای آموزشی ترکیبات لازم است
برندهای مراقبت پوست,,Transactional,Brand Pages,"ضدآفتاب, سرم صورت",مدل چندبرندی — این کیوردها باید با موجودی واقعی انبار فیلتر شوند؛ برند بدون موجودی صفحه نگیرد
