keyword,main_topic,search_intent,search_volume,keyword_difficulty,cpc,competition_level,current_position,target_position,target_url,content_type,priority,status,last_checked,cluster,keyword_type,notes
روتین مراقبت از پوست,,Informational,,,,,,3,,pillar,High,New,,روتین مراقبت پوست,Primary,صفحه هاب — همه کلاسترها به این لینک می‌دهند | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
روتین صبحگاهی پوست,,Informational,,,,,,3,,article,High,New,,روتین مراقبت پوست,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
روتین شبانه پوست,,Informational,,,,,,3,,article,High,New,,روتین مراقبت پوست,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ترتیب استفاده از محصولات پوستی,,Informational,,,,,,3,,guide,High,New,,روتین مراقبت پوست,Long Tail,پتانسیل بالای featured snippet — با لیست مرتب بنویس | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
روتین پوستی برای مبتدیان,,Informational,,,,,,5,,guide,High,New,,روتین مراقبت پوست,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
روتین پوستی چند مرحله ای باشد,,Informational,,,,,,5,,faq,Medium,New,,روتین مراقبت پوست,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
فاصله بین استفاده از محصولات پوستی چقدر باشد,,Informational,,,,,,5,,faq,Medium,New,,روتین مراقبت پوست,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
اشتباهات رایج در مراقبت از پوست,,Informational,,,,,,5,,article,Medium,New,,روتین مراقبت پوست,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
روتین پوستی ارزان قیمت,,Commercial,,,,,,5,,article,Medium,New,,روتین مراقبت پوست,Long Tail,پل به صفحات دسته — نیت ترکیبی | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تشخیص نوع پوست,,Informational,,,,,,3,,pillar,High,New,,انواع پوست,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
چگونه نوع پوست خود را بشناسیم,,Informational,,,,,,3,,faq,High,New,,انواع پوست,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
پوست مختلط چیست,,Informational,,,,,,5,,faq,Medium,New,,انواع پوست,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
مراقبت از پوست چرب,,Informational,,,,,,3,,article,High,New,,انواع پوست,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
مراقبت از پوست خشک,,Informational,,,,,,3,,article,High,New,,انواع پوست,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
مراقبت از پوست حساس,,Informational,,,,,,3,,article,High,New,,انواع پوست,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
علت چرب شدن پوست صورت,,Informational,,,,,,5,,faq,Medium,New,,انواع پوست,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات مناسب پوست چرب,,Commercial,,,,,,5,,category,Medium,New,,انواع پوست,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
محصولات مناسب پوست خشک,,Commercial,,,,,,5,,category,Medium,New,,انواع پوست,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
پوست دهیدراته چیست,,Informational,,,,,,5,,faq,Medium,New,,انواع پوست,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تفاوت پوست خشک و دهیدراته,,Informational,,,,,,5,,comparison,Medium,New,,انواع پوست,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ضد آفتاب,,Commercial,,,,,,3,,category,High,New,,ضدآفتاب,Primary,کیورد سر دسته — صفحه دسته باید محتوای راهنما هم داشته باشد | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
بهترین ضد آفتاب,,Commercial,,,,,,3,,buying guide,High,New,,ضدآفتاب,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ضد آفتاب مناسب پوست چرب,,Commercial,,,,,,3,,buying guide,High,New,,ضدآفتاب,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ضد آفتاب مناسب پوست حساس,,Commercial,,,,,,5,,buying guide,Medium,New,,ضدآفتاب,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ضد آفتاب رنگی,,Commercial,,,,,,5,,category,Medium,New,,ضدآفتاب,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
اس پی اف چیست,,Informational,,,,,,3,,faq,High,New,,ضدآفتاب,Question,SPF — املای فارسی و لاتین هر دو جستجو می‌شود؛ در محتوا هر دو را بیاور | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
تفاوت ضد آفتاب فیزیکی و شیمیایی,,Informational,,,,,,3,,comparison,High,New,,ضدآفتاب,Question,پتانسیل بالای snippet | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
هر چند ساعت ضد آفتاب بزنیم,,Informational,,,,,,3,,faq,High,New,,ضدآفتاب,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
آیا در خانه هم باید ضد آفتاب زد,,Informational,,,,,,5,,faq,Medium,New,,ضدآفتاب,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
مقدار مصرف صحیح ضد آفتاب,,Informational,,,,,,5,,guide,Medium,New,,ضدآفتاب,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
ضد آفتاب برای پوست کودک,,Commercial,,,,,,10,,category,Low,New,,ضدآفتاب,Long Tail,فقط اگر این دسته موجود است | source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
خرید ضد آفتاب,,Transactional,,,,,,5,,category,Medium,New,,ضدآفتاب,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
قیمت ضد آفتاب,,Transactional,,,,,,5,,category,Medium,New,,ضدآفتاب,Supporting,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرم صورت,,Commercial,,,,,,3,,category,High,New,,سرم صورت,Primary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرم ویتامین سی,,Commercial,,,,,,3,,category,High,New,,سرم صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
فواید سرم ویتامین سی برای پوست,,Informational,,,,,,3,,article,High,New,,سرم صورت,Long Tail,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرم هیالورونیک اسید,,Commercial,,,,,,3,,category,High,New,,سرم صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
هیالورونیک اسید چیست,,Informational,,,,,,3,,faq,High,New,,سرم صورت,Question,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
سرم نیاسینامید,,Commercial,,,,,,3,,category,High,New,,سرم صورت,Secondary,source: needed — حجم جستجو و KD نیاز به Keyword Planner یا Ahrefs/Semrush دارد
