competitor,keyword,position,url,volume,notes
maktabkhooneh.org,آموزش جاوا اسکریپت,1,https://maktabkhooneh.org/learn/java-script/,,"hub/فروش دوره. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. ضعف: صفحه دوره است نه آموزش متنی؛ کد قابل کپی در صفحه نیست"
sariasan.com,آموزش جاوا اسکریپت,2,https://sariasan.com/java-script/,,"مرجع آموزشی چندصفحه‌ای رایگان. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. ضعف: برند ضعیف، EEAT نامشخص"
toplearn.com,آموزش جاوا اسکریپت,3,https://toplearn.com/c/W6J,,"صفحه فروش دوره ویدیویی. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. ضعف: محتوای متنی ایندکس‌شدنی تقریبا صفر"
sabzlearn.ir,آموزش جاوا اسکریپت,4,https://sabzlearn.ir/course/java-script-zero-to-hero/,,"صفحه فروش دوره + مینی‌پروژه. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
clicksite.org,آموزش جاوا اسکریپت,5,https://clicksite.org/cat/JAVASCRIPT,,"آرشیو ۱۰۰ جلسه ویدیو رایگان. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
codeyad.com,آموزش جاوا اسکریپت,6,https://codeyad.com/course/learn-javascript,,"دوره رایگان پروژه‌محور. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
javascript.ir,آموزش جاوا اسکریپت,8,https://javascript.ir/,,"دامنه دقیقا-تطبیقی EMD. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,جاوا اسکریپت چیست,1,https://blog.faradars.org/%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-%DA%86%DB%8C%D8%B3%D8%AA/,,"مقاله بلاگ آموزشگاهی. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. ضعف: تبلیغ دوره داخل متن"
fa.wikipedia.org,جاوا اسکریپت چیست,2,https://fa.wikipedia.org/wiki/%D8%AC%D8%A7%D9%88%D8%A7%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA,,"دانشنامه. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. ضعف: هیچ آموزش عملی/کد ندارد"
rtl-theme.com,جاوا اسکریپت چیست,3,https://www.rtl-theme.com/blog/what-is-javascript/,,"بلاگ مارکت‌پلیس قالب - رقیب غیرآموزشگاهی. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
megajs.com,جاوا اسکریپت چیست,6,https://megajs.com/learn-javascript/what-is-javascript/,,"سایت تخصصی JS. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
maktabkhooneh.org,آموزش جاوا اسکریپت از صفر,1,https://maktabkhooneh.org/learn/java-script/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
quera.org,آموزش جاوا اسکریپت از صفر,2,https://quera.org/college/landpage/16059/fundamentals-of-javascript,,"لندینگ دوره با ۹۰+ تمرین عملی و داور آنلاین کد. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. قوی‌ترین نقطه: تمرین تعاملی"
sariasan.com,آموزش جاوا اسکریپت از صفر,4,https://sariasan.com/java-script/java-script-full-free-lessons/,,"۳۰ درس + جزوه PDF رایگان. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sabzlearn.ir,آموزش جاوا اسکریپت از صفر,5,https://sabzlearn.ir/course/java-script-zero-to-hero/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
maktabkhooneh.org,دوره جاوا اسکریپت,1,https://maktabkhooneh.org/learn/java-script/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
7learn.com,دوره جاوا اسکریپت,2,https://7learn.com/course/vanilla-javascript,,"دوره Vanilla JS. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
roocket.ir,دوره جاوا اسکریپت,3,https://roocket.ir/skills/javascript/,,"صفحه مهارت/دوره عملی. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
sabzlearn.ir,دوره جاوا اسکریپت,4,https://sabzlearn.ir/course/java-script-zero-to-hero/,,"WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR"
blog.faradars.org,DOM در جاوا اسکریپت,1,https://blog.faradars.org/dom-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA/,,"مقاله + نمونه کد. WebSearch SERP 2026-08-04; ordinal in returned result set, NOT verified gl=IR. نکته: هیچ آموزشگاه بزرگ دیگری در تاپ۵ نیست - SERP ضعیف"
